path,x_pix,y_pix,has_target
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1065_196,119.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_968_196,216.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_106,118.0,201.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_140,118.0,167.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1016_133,168.0,174.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1032_131,152.0,176.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1034_196,150.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1055_196,129.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1055_151,129.0,156.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_196,118.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_970_196,214.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1018_145,166.0,162.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1013_196,171.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_138,118.0,169.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1047_196,137.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_994_196,190.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1053_196,131.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_142,118.0,165.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1007_196,177.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1014_129,170.0,178.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_966_196,218.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1048_133,136.0,174.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1037_98,147.0,209.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_993_190,191.0,117.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_980_196,204.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1016_196,168.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_999_196,185.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1058_139,126.0,168.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1003_196,181.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1005_196,179.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_151,118.0,156.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1056_196,128.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_156,118.0,151.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_110,118.0,197.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1039_196,145.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_143,118.0,164.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_130,118.0,177.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_158,118.0,149.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1053_98,131.0,209.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_102,118.0,205.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1040_195,144.0,112.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_190,118.0,117.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1066_121,118.0,186.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1017_147,167.0,160.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1041_96,143.0,211.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1051_172,133.0,135.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1021_181,163.0,126.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_981_149,203.0,158.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1054_196,130.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_center_offset_sweep/15-12-2020_1300_1032_196,152.0,111.0,1
